basis_index,lemma_pos
0,year_SUBST
1,going_VERB
2,quite_ADV
3,okay_ADV
4,down_ADV
5,why_ADV
6,way_SUBST
7,back_ADV
8,any_ADJ
9,bit_SUBST
10,need_VERB
11,in_ADV
12,--anonplace_SUBST
13,other_ADJ
14,day_SUBST
15,give_VERB
16,tell_VERB
17,these_ADJ
18,should_VERB
19,lot_SUBST
20,only_ADV
21,sort_SUBST
22,nice_ADJ
23,work_VERB
24,those_ADJ
25,more_ADJ
26,--anonnumeral_SUBST
27,as_ADV
28,might_VERB
29,right_ADJ
30,try_VERB
31,much_ADJ
32,still_ADV
33,first_ADJ
34,little_ADJ
35,probably_ADV
36,off_ADV
37,never_ADV
38,week_SUBST
39,big_ADJ
40,find_VERB
41,use_VERB
42,talk_VERB
43,again_ADV
44,last_ADJ
45,used_VERB
46,start_VERB
47,always_ADV
48,of_ADV
49,too_ADV
50,remember_VERB
51,though_ADV
52,even_ADV
53,pound_SUBST
54,call_VERB
55,about_ADV
56,same_ADJ
57,stuff_SUBST
58,more_ADV
59,keep_VERB
60,money_SUBST
61,feel_VERB
62,leave_VERB
63,ask_VERB
64,buy_VERB
65,old_ADJ
66,house_SUBST
67,pay_VERB
68,another_ADJ
69,point_SUBST
70,when_ADV
71,happen_VERB
72,gon_VERB
73,different_ADJ
74,anyway_ADV
75,many_ADJ
76,maybe_ADV
77,mum_SUBST
78,next_ADJ
79,work_SUBST
80,new_ADJ
81,let_VERB
82,god_SUBST
83,sure_ADJ
84,bad_ADJ
85,bit_ADV
86,kind_SUBST
87,must_VERB
88,man_SUBST
89,school_SUBST
90,night_SUBST
91,also_ADV
92,thank_VERB
93,place_SUBST
94,sorry_ADJ
95,else_ADV
96,away_ADV
97,car_SUBST
98,job_SUBST
99,move_VERB
100,live_VERB
101,hear_VERB
102,over_ADV
103,long_ADJ
104,sit_VERB
105,problem_SUBST
106,play_VERB
107,hour_SUBST
108,minute_SUBST
109,dad_SUBST
110,eat_VERB
111,end_SUBST
112,half_ADJ
113,number_SUBST
114,obviously_ADV
115,child_SUBST
116,today_ADV
117,course_SUBST
118,great_ADJ
119,own_ADJ
120,write_VERB
121,morning_SUBST
122,watch_VERB
123,word_SUBST
124,all_ADV
125,round_ADV
126,alright_ADJ
127,month_SUBST
128,few_ADJ
129,read_VERB
130,bring_VERB
131,turn_VERB
132,ever_ADV
133,fine_ADJ
134,name_SUBST
135,stop_VERB
136,seem_VERB
137,fact_SUBST
138,part_SUBST
139,life_SUBST
140,side_SUBST
141,friend_SUBST
142,run_VERB
143,sort_ADV
144,much_ADV
145,book_SUBST
146,idea_SUBST
147,love_VERB
148,alright_ADV
149,road_SUBST
150,area_SUBST
151,suppose_VERB
152,question_SUBST
153,exactly_ADV
154,walk_VERB
155,able_ADJ
156,please_ADV
157,change_VERB
158,mr_SUBST
159,woman_SUBST
160,lovely_ADJ
161,person_SUBST
162,send_VERB
163,whole_ADJ
164,may_VERB
165,girl_SUBST
166,okay_ADJ
167,help_VERB
168,room_SUBST
169,show_VERB
170,speak_VERB
171,guy_SUBST
172,home_ADV
173,funny_ADJ
174,pick_VERB
175,wait_VERB
176,yet_ADV
177,stay_VERB
178,ago_ADV
179,water_SUBST
180,couple_SUBST
181,hand_SUBST
182,wrong_ADJ
183,door_SUBST
184,perhaps_ADV
185,back_SUBST
186,enough_ADV
187,already_ADV
188,together_ADV
189,only_ADJ
190,meet_VERB
191,council_SUBST
192,moment_SUBST
193,small_ADJ
194,around_ADV
195,lose_VERB
196,such_ADJ
197,no_VERB
198,christmas_SUBST
199,shall_VERB
200,understand_VERB
201,group_SUBST
202,believe_VERB
203,country_SUBST
204,pretty_ADV
205,world_SUBST
206,phone_SUBST
207,family_SUBST
208,home_SUBST
209,before_ADV
210,sometimes_ADV
211,shop_SUBST
212,true_ADJ
213,load_SUBST
214,tomorrow_ADV
215,mind_VERB
216,finish_VERB
217,case_SUBST
218,basically_ADV
219,at_ADV
220,most_ADJ
221,absolutely_ADV
222,young_ADJ
223,spend_VERB
224,high_ADJ
225,sound_VERB
226,each_ADJ
227,forget_VERB
228,boy_SUBST
229,sell_VERB
230,kid_SUBST
231,reason_SUBST
232,rather_ADV
233,somewhere_ADV
234,head_SUBST
235,top_SUBST
236,hope_VERB
237,look_SUBST
238,either_ADV
239,easy_ADJ
240,card_SUBST
241,kind_ADV
242,hard_ADJ
243,course_ADV
244,age_SUBST
245,bed_SUBST
246,party_SUBST
247,game_SUBST
248,that_ADV
249,drive_VERB
250,service_SUBST
251,happy_ADJ
252,definitely_ADV
253,full_ADJ
254,interesting_ADJ
255,food_SUBST
256,paper_SUBST
257,stand_VERB
258,far_ADV
259,term_SUBST
260,weird_ADJ
261,business_SUBST
262,wear_VERB
263,cut_VERB
264,certainly_ADV
265,line_SUBST
266,shit_SUBST
267,company_SUBST
268,difficult_ADJ
269,tea_SUBST
270,second_ADJ
271,least_ADV
272,government_SUBST
273,wonder_VERB
274,both_ADJ
275,learn_VERB
276,local_ADJ
277,become_VERB
278,important_ADJ
279,listen_VERB
280,percent_SUBST
281,hold_VERB
282,carry_VERB
283,bloody_ADJ
284,picture_SUBST
285,set_VERB
286,die_VERB
287,well_ADJ
288,most_ADV
289,like_ADJ
290,holiday_SUBST
291,dog_SUBST
292,hang_VERB
293,long_ADV
294,allow_VERB
295,member_SUBST
296,agree_VERB
297,yesterday_ADV
298,black_ADJ
299,miss_VERB
300,table_SUBST
301,film_SUBST
302,once_ADV
303,level_SUBST
304,fucking_ADJ
305,build_VERB
306,type_SUBST
307,friday_SUBST
308,mother_SUBST
309,open_VERB
310,parent_SUBST
311,fall_VERB
312,free_ADJ
313,decide_VERB
314,win_VERB
315,weekend_SUBST
316,later_ADV
317,imagine_VERB
318,often_ADV
319,piece_SUBST
320,certain_ADJ
321,late_ADJ
322,guess_VERB
323,ring_VERB
324,other_SUBST
325,sense_SUBST
326,foot_SUBST
327,expect_VERB
328,baby_SUBST
329,in_VERB
330,saturday_SUBST
331,break_VERB
332,plan_SUBST
333,box_SUBST
334,cool_ADJ
335,supposed_ADJ
336,story_SUBST
337,class_SUBST
338,white_ADJ
339,cheap_ADJ
340,face_SUBST
341,policy_SUBST
342,particular_ADJ
343,letter_SUBST
344,teacher_SUBST
345,system_SUBST
346,grow_VERB
347,john_SUBST
348,sunday_SUBST
349,hot_ADJ
350,bag_SUBST
351,light_SUBST
352,office_SUBST
353,drink_VERB
354,meeting_SUBST
355,county_SUBST
356,mind_SUBST
357,war_SUBST
358,price_SUBST
359,far_ADJ
360,thanks_SUBST
361,town_SUBST
362,check_VERB
363,hair_SUBST
364,view_SUBST
365,real_ADJ
366,red_ADJ
367,report_SUBST
368,tonight_ADV
369,quid_SUBST
370,usually_ADV
371,enough_ADJ
372,end_VERB
373,enjoy_VERB
374,apparently_ADV
375,amount_SUBST
376,stick_VERB
377,pull_VERB
378,situation_SUBST
379,london_SUBST
380,street_SUBST
381,colour_SUBST
382,issue_SUBST
383,language_SUBST
384,window_SUBST
385,pass_VERB
386,city_SUBST
387,hate_VERB
388,bus_SUBST
389,open_ADJ
390,almost_ADV
391,difference_SUBST
392,eye_SUBST
393,information_SUBST
394,birthday_SUBST
395,save_VERB
396,fair_ADJ
397,monday_SUBST
398,through_ADV
399,--anonnamen_SUBST
400,rest_SUBST
401,student_SUBST
402,form_SUBST
403,normally_ADV
404,police_SUBST
405,go_SUBST
406,add_VERB
407,completely_ADV
408,page_SUBST
409,hell_SUBST
410,ready_ADJ
411,cold_ADJ
412,dinner_SUBST
413,example_SUBST
414,teach_VERB
415,change_SUBST
416,straight_ADV
417,lady_SUBST
418,brother_SUBST
419,building_SUBST
420,order_SUBST
421,mention_VERB
422,short_ADJ
423,doctor_SUBST
424,sort_VERB
425,particularly_ADV
426,matter_SUBST
427,garden_SUBST
428,deal_VERB
429,land_SUBST
430,low_ADJ
431,awful_ADJ
432,amazing_ADJ
433,british_ADJ
434,programme_SUBST
435,bet_VERB
436,less_ADV
437,body_SUBST
438,centre_SUBST
439,team_SUBST
440,early_ADJ
441,wan_VERB
442,fire_SUBST
443,throw_VERB
444,while_SUBST
445,church_SUBST
446,bother_VERB
447,front_SUBST
448,figure_SUBST
449,along_ADV
450,nearly_ADV
451,afternoon_SUBST
452,choose_VERB
453,father_SUBST
454,cost_SUBST
455,mile_SUBST
456,main_ADJ
457,literally_ADV
458,cost_VERB
459,university_SUBST
460,follow_VERB
461,cup_SUBST
462,coffee_SUBST
463,forward_ADV
464,worry_VERB
465,depend_VERB
466,horrible_ADJ
467,computer_SUBST
468,drink_SUBST
469,kill_VERB
470,trouble_SUBST
471,soon_ADV
472,evening_SUBST
473,answer_SUBST
474,brilliant_ADJ
475,expensive_ADJ
476,general_ADJ
477,cat_SUBST
478,fucking_ADV
479,little_ADV
480,reckon_VERB
481,mummy_SUBST
482,large_ADJ
483,cook_VERB
484,south_SUBST
485,matter_VERB
486,national_ADJ
487,extra_ADJ
488,interest_SUBST
489,drop_VERB
490,train_SUBST
491,leg_SUBST
492,size_SUBST
493,stupid_ADJ
494,need_SUBST
495,committee_SUBST
496,third_ADJ
497,cover_VERB
498,normal_ADJ
499,sleep_VERB
500,cake_SUBST
501,glass_SUBST
502,chocolate_SUBST
503,special_ADJ
504,chance_SUBST
505,tree_SUBST
506,list_SUBST
507,health_SUBST
508,wish_VERB
509,bottom_SUBST
510,space_SUBST
511,manage_VERB
512,north_SUBST
513,provide_VERB
514,power_SUBST
515,hit_VERB
516,training_SUBST
517,tape_SUBST
518,blue_ADJ
519,actual_ADJ
520,music_SUBST
521,shut_VERB
522,park_SUBST
523,draw_VERB
524,market_SUBST
525,stage_SUBST
526,especially_ADV
527,catch_VERB
528,realise_VERB
529,bank_SUBST
530,sister_SUBST
531,possible_ADJ
532,experience_SUBST
533,authority_SUBST
534,love_SUBST
535,quarter_SUBST
536,wall_SUBST
537,conversation_SUBST
