FVC_POS,LVC,LV_POS,nominal_POS,punctive/durative,count/mass syntax,source,identical nominal?,related nominal?,passive?,comments
play_VERB,have a game,have_VERB,game_SUBST,durative,count,Gilquin (2019),FALSE,FALSE,FALSE,take a swipe from
murder_VERB,commit a murder,commit_VERB,murder_SUBST,durative,count,Bonial and Pollard (2020),TRUE,TRUE,FALSE,debatable whether LVC or not
crash_VERB,have an accident,have_VERB,accident_SUBST,punctive,count,Brugman (2001),FALSE,FALSE,FALSE,related FV
suicide_VERB,commit suicide,commit_VERB,suicide_SUBST,punctive,mass,Bonial and Pollard (2020),TRUE,TRUE,FALSE,debatable whether LVC or not
test_VERB,conduct a test,conduct_VERB,test_SUBST,durative,count,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
damage_VERB,do damage,do_VERB,damage_SUBST,durative,mass,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
work_VERB,do work,do_VERB,work_SUBST,durative,mass,Bonial and Pollard (2020);Ronan & Schneider (2015),TRUE,TRUE,FALSE,
influence_VERB,exert influence,exert_VERB,influence_SUBST,durative,mass,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
pressure_VERB,exert pressure,exert_VERB,pressure_SUBST,durative,mass,Ronan & Schneider (2015),TRUE,TRUE,FALSE,
try_VERB,make an effort,make_VERB,effort_SUBST,durative,mass,Bonial and Pollard (2020),FALSE,FALSE,FALSE,
risk_VERB,take a chance,take_VERB,chance_SUBST,durative,count,Gilquin (2019),FALSE,FALSE,FALSE,debatable whether LVC or not
photograph_VERB,take a picture,take_VERB,picture_SUBST,punctive,count,Gilquin (2019),FALSE,FALSE,FALSE,
boost_VERB,give a boost,give_VERB,boost_SUBST,durative,count,Mehl (2019),TRUE,TRUE,FALSE,
call_VERB,give a call,give_VERB,call_SUBST,durative,count,Wittenberg (2016),TRUE,TRUE,FALSE,
cuddle_VERB,give a cuddle,give_VERB,cuddle_SUBST,punctive,count,Wittenberg & Levy (2017),TRUE,TRUE,FALSE,
resemble_VERB,bear resemblance,bear_VERB,resemblance_SUBST,durative,mass,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
groan_VERB,give a groan,give_VERB,groan_SUBST,punctive,count,Bonial (2014),TRUE,TRUE,FALSE,
hug_VERB,give a hug,give_VERB,hug_SUBST,punctive,count,Wittenberg & Levy (2017),TRUE,TRUE,FALSE,
kick_VERB,give a kick,give_VERB,kick_SUBST,punctive,count,Wittenberg & Levy (2017),TRUE,TRUE,FALSE,
kiss_VERB,give a kiss,give_VERB,kiss_SUBST,punctive,count,Wittenberg & Levy (2017),TRUE,TRUE,FALSE,
lecture_VERB,give a lecture,give_VERB,lecture_SUBST,durative,count,Wittenberg & Levy (2017),TRUE,TRUE,FALSE,
look_VERB,give a look,give_VERB,look_SUBST,durative,count,Brugman (2001),TRUE,TRUE,FALSE,
massage_VERB,give a massage,give_VERB,massage_SUBST,durative,count,Wittenberg (2016),TRUE,TRUE,FALSE,
miss_VERB,give a miss,give_VERB,miss_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
poke_VERB,give a poke,give_VERB,poke_SUBST,punctive,count,Wittenberg & Levy (2017),TRUE,TRUE,FALSE,
offend_VERB,commit an offence,commit_VERB,offence_SUBST,durative,count,Ronan & Schneider (2015),FALSE,TRUE,FALSE,
pull_VERB,give a pull,give_VERB,pull_SUBST,punctive,count,Butt (2010),TRUE,TRUE,FALSE,
punch_VERB,give a punch,give_VERB,punch_SUBST,punctive,count,Wittenberg (2016),TRUE,TRUE,FALSE,
push_VERB,give a push,give_VERB,push_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
ring_VERB,give a ring,give_VERB,ring_SUBST,punctive,count,Butt (2010),TRUE,TRUE,FALSE,
scare_VERB,give a scare,give_VERB,scare_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
investigate_VERB,do an investigation,do_VERB,investigation_SUBST,durative,count,Bonial (2014),FALSE,TRUE,FALSE,
bathe_VERB,give a bath,give_VERB,bath_SUBST,durative,count,Bonial (2014),FALSE,TRUE,FALSE,to give someone a bath
shake_VERB,give a shake,give_VERB,shake_SUBST,punctive,count,Wittenberg & Levy (2017),TRUE,TRUE,FALSE,
shiver_VERB,give a shiver,give_VERB,shiver_SUBST,punctive,count,Butt (2010),TRUE,TRUE,FALSE,
shout_VERB,give a shout,give_VERB,shout_SUBST,punctive,count,Butt (2010),TRUE,TRUE,FALSE,
sigh_VERB,give a sigh,give_VERB,sigh_SUBST,punctive,count,Butt (2010),TRUE,TRUE,FALSE,
sip_VERB,give a sip,give_VERB,sip_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
smile_VERB,give a smile,give_VERB,smile_SUBST,punctive,count,Gilquin (2019),TRUE,TRUE,FALSE,
sniff_VERB,give a sniff,give_VERB,sniff_SUBST,punctive,count,Brugman (2001),TRUE,TRUE,FALSE,
bless_VERB,give a blessing,give_VERB,blessing_SUBST,punctive,count,Gilquin (2019);Mehl (2019),FALSE,TRUE,FALSE,
