verb,count,min,Q1,median,mean,std,Q3,max
make_VERB_comparison_SUBST,8.0,5.0,7.75,11.0,22.375,19.631880049697592,41.75,52.0
have_VERB_feel_SUBST,4.0,3.0,6.75,17.5,17.25,13.81725973797506,28.0,31.0
punch_VERB,111.0,2.0,7.0,11.0,15.135135135135135,12.112717949243931,20.0,69.0
crash_VERB,158.0,1.0,7.0,14.0,18.474683544303797,17.30126440174873,23.0,101.0
ring_VERB,1364.0,2.0,9.0,17.0,23.707478005865102,23.050843094544035,29.0,258.0
assure_VERB,105.0,2.0,11.0,18.0,25.095238095238095,22.087902975960798,29.0,129.0
offer_VERB_apology_SUBST,1.0,11.0,11.0,11.0,11.0,nan,11.0,11.0
have_VERB_kiss_SUBST,5.0,3.0,6.0,7.0,8.0,4.847679857416329,8.0,16.0
make_VERB_mention_SUBST,2.0,11.0,16.0,21.0,21.0,14.142135623730951,26.0,31.0
approach_VERB,220.0,2.0,13.0,21.0,25.19090909090909,18.503607178651276,32.0,129.0
rest_VERB,97.0,2.0,11.0,17.0,21.88659793814433,17.783346779512918,29.0,104.0
sense_VERB,29.0,6.0,10.0,17.0,30.79310344827586,31.00619674279969,43.0,135.0
taste_VERB,507.0,2.0,6.0,10.0,13.009861932938856,11.815524614576312,16.0,127.0
have_VERB_talk_SUBST,26.0,7.0,13.25,17.0,28.153846153846153,33.71728613953656,24.75,144.0
have_VERB_bite_SUBST,16.0,4.0,6.75,9.0,12.0,8.107609594284455,13.0,32.0
make_VERB_decision_SUBST,304.0,4.0,12.0,21.0,26.86513157894737,20.51976994019357,35.0,125.0
take_VERB_exercise_SUBST,1.0,31.0,31.0,31.0,31.0,nan,31.0,31.0
have_VERB_fall_SUBST,5.0,4.0,5.0,6.0,25.6,28.324900705915987,53.0,60.0
try_VERB,8729.0,1.0,9.0,16.0,21.852102188108603,19.506115706248615,27.0,321.0
start_VERB,7483.0,1.0,9.0,15.0,21.42108779901109,19.970682041054662,27.0,331.0
direct_VERB,118.0,2.0,10.25,17.5,22.991525423728813,18.69297402756112,29.75,102.0
take_VERB_step_SUBST,38.0,3.0,13.75,22.0,30.236842105263158,22.923414455502037,37.5,101.0
give_VERB_guidance_SUBST,14.0,3.0,16.75,29.5,27.642857142857142,17.363122472010097,35.0,64.0
have_VERB_shower_SUBST,139.0,2.0,7.0,12.0,17.323741007194243,17.9726909695254,21.0,118.0
give_VERB_speech_SUBST,7.0,5.0,9.5,15.0,15.428571428571429,8.100558475750152,20.5,28.0
speak_VERB,3063.0,1.0,9.0,16.0,22.174012406137773,21.354831338251042,28.0,331.0
warn_VERB,83.0,2.0,9.5,16.0,20.83132530120482,17.14487712515873,29.0,87.0
inform_VERB,127.0,3.0,14.5,24.0,30.480314960629922,23.082615733628664,43.5,129.0
make_VERB_move_SUBST,35.0,2.0,6.5,11.0,15.4,14.789105688270118,20.5,78.0
have_VERB_swim_SUBST,8.0,5.0,5.75,11.5,13.5,9.680613912055666,17.5,33.0
take_VERB_breath_SUBST,26.0,3.0,7.25,10.0,21.653846153846153,33.63443748028774,20.75,172.0
