LV,nominal,FV,note,test_statistic,p-value,CI-lower,CI-upper,relative_effect,FVC_n,LVC_n
take_VERB,punch_SUBST,punch_VERB,insufficient observations,test_result$statistic,,,,,106,1
give_VERB,punch_SUBST,punch_VERB,EXTREME OUTLIERS REMOVED,-0.194,0.59,-0.953,1.887,0.467,106,2
have_VERB,accident_SUBST,crash_VERB,EXTREME OUTLIERS REMOVED,0.503,0.299,0.44,0.605,0.521,149,70
give_VERB,ring_SUBST,ring_VERB,EXTREME OUTLIERS REMOVED,-0.474,0.698,0.44,0.538,0.488,1294,125
give_VERB,assurance_SUBST,assure_VERB,EXTREME OUTLIERS REMOVED,-2.504,0.984,0.132,0.479,0.305,100,11
take_VERB,approach_SUBST,approach_VERB,,-8.598,1,0.04,0.257,0.145,205,7
have_VERB,rest_SUBST,rest_VERB,EXTREME OUTLIERS REMOVED,2.105,0.022,0.505,0.746,0.627,96,40
take_VERB,rest_SUBST,rest_VERB,EXTREME OUTLIERS REMOVED,1.362,0.089,0.446,0.759,0.602,96,14
have_VERB,sense_SUBST,sense_VERB,EXTREME OUTLIERS REMOVED,0.838,0.203,0.41,0.723,0.563,28,44
take_VERB,taste_SUBST,taste_VERB,insufficient observations,test_result$statistic,,,,,481,1
give_VERB,taste_SUBST,taste_VERB,EXTREME OUTLIERS REMOVED,-2.16,0.907,0.121,0.675,0.385,481,3
give_VERB,try_SUBST,try_VERB,EXTREME OUTLIERS REMOVED,-0.857,0.803,0.376,0.55,0.464,8207,28
have_VERB,try_SUBST,try_VERB,EXTREME OUTLIERS REMOVED,3.288,0.004,0.577,0.884,0.728,8207,13
make_VERB,effort_SUBST,try_VERB,EXTREME OUTLIERS REMOVED,NaN,,,,,8207,136
make_VERB,start_SUBST,start_VERB,EXTREME OUTLIERS REMOVED,-3.348,0.998,0.258,0.445,0.35,7058,27
give_VERB,speech_SUBST,speak_VERB,EXTREME OUTLIERS REMOVED,-0.702,0.753,0.17,0.691,0.429,2941,7
give_VERB,warning_SUBST,warn_VERB,EXTREME OUTLIERS REMOVED,-2.153,0.974,0.219,0.502,0.359,83,11
give_VERB,information_SUBST,inform_VERB,EXTREME OUTLIERS REMOVED,0.326,0.37,0.435,0.597,0.513,124,72
have_VERB,smoke_SUBST,smoke_VERB,EXTREME OUTLIERS REMOVED,-0.267,0.594,0.103,0.832,0.474,414,4
take_VERB,action_SUBST,act_VERB,EXTREME OUTLIERS REMOVED,-5.338,1,0.284,0.401,0.342,284,71
make_VERB,submission_SUBST,submit_VERB,EXTREME OUTLIERS REMOVED,-3.314,0.997,0.151,0.427,0.289,120,13
give_VERB,hug_SUBST,hug_VERB,EXTREME OUTLIERS REMOVED,-3.947,0.999,0.068,0.363,0.216,33,17
give_VERB,encouragement_SUBST,encourage_VERB,EXTREME OUTLIERS REMOVED,-1.549,0.891,0.107,0.648,0.385,324,4
take_VERB,exercise_SUBST,exercise_VERB,insufficient observations,test_result$statistic,,,,,60,1
have_VERB,shave_SUBST,shave_VERB,EXTREME OUTLIERS REMOVED,0.549,0.296,0.296,0.821,0.563,101,9
have_VERB,run_SUBST,run_VERB,EXTREME OUTLIERS REMOVED,0.367,0.36,0.395,0.645,0.522,3021,24
take_VERB,kick_SUBST,kick_VERB,EXTREME OUTLIERS REMOVED,-3.26,0.972,-0.203,0.515,0.169,481,4
give_VERB,kick_SUBST,kick_VERB,EXTREME OUTLIERS REMOVED,-2.281,0.978,0.115,0.491,0.308,481,10
have_VERB,kick_SUBST,kick_VERB,EXTREME OUTLIERS REMOVED,9.16,0.003,0.664,0.875,0.767,481,4
give_VERB,summary_SUBST,summarise_VERB,,-4.417,0.947,-0.299,0.662,0.167,33,2
pay_VERB,contribution_SUBST,contribute_VERB,EXTREME OUTLIERS REMOVED,-0.897,0.808,0.28,0.591,0.437,142,12
make_VERB,contribution_SUBST,contribute_VERB,EXTREME OUTLIERS REMOVED,-2.569,0.993,0.283,0.474,0.378,142,45
do_VERB,work_SUBST,work_VERB,EXTREME OUTLIERS REMOVED,NaN,,,,,9110,463
make_VERB,assessment_SUBST,assess_VERB,EXTREME OUTLIERS REMOVED,-0.934,0.818,0.139,0.646,0.399,121,8
have_VERB,gossip_SUBST,gossip_VERB,,0.894,0.234,-0.881,2.281,0.7,5,2
have_VERB,wash_SUBST,wash_VERB,EXTREME OUTLIERS REMOVED,-0.054,0.526,0.311,0.683,0.495,691,16
make_VERB,investment_SUBST,invest_VERB,EXTREME OUTLIERS REMOVED,2.103,0.094,0.239,1.127,0.69,201,3
have_VERB,throw_SUBST,throw_VERB,insufficient observations,test_result$statistic,,,,,1046,1
reach_VERB,agreement_SUBST,agree_VERB,EXTREME OUTLIERS REMOVED,-0.488,0.686,0.179,0.749,0.475,1618,3
have_VERB,lead_SUBST,lead_VERB,EXTREME OUTLIERS REMOVED,0.716,0.256,-0.144,1.332,0.602,415,3
take_VERB,lead_SUBST,lead_VERB,EXTREME OUTLIERS REMOVED,-0.954,0.827,0.291,0.578,0.438,415,13
give_VERB,presentation_SUBST,present_VERB,EXTREME OUTLIERS REMOVED,1.049,0.156,0.407,0.726,0.565,285,7
commit_VERB,offence_SUBST,offend_VERB,EXTREME OUTLIERS REMOVED,-3.185,0.986,-0.04,0.442,0.201,73,6
give_VERB,recognition_SUBST,recognise_VERB,EXTREME OUTLIERS REMOVED,-0.676,0.706,-1.618,2.529,0.37,342,2
give_VERB,cuddle_SUBST,cuddle_VERB,EXTREME OUTLIERS REMOVED,1.959,0.073,0.388,0.911,0.656,40,4
have_VERB,cuddle_SUBST,cuddle_VERB,EXTREME OUTLIERS REMOVED,0.308,0.379,0.185,0.901,0.54,40,5
have_VERB,objection_SUBST,object_VERB,,-1.639,0.941,0.302,0.523,0.412,107,25
make_VERB,copy_SUBST,copy_VERB,EXTREME OUTLIERS REMOVED,-2.04,0.928,-0.198,0.695,0.248,248,4
make_VERB,proposal_SUBST,propose_VERB,EXTREME OUTLIERS REMOVED,-1.247,0.833,-0.263,1.002,0.348,325,3
make_VERB,complaint_SUBST,complain_VERB,EXTREME OUTLIERS REMOVED,-3.098,0.995,0.132,0.433,0.286,378,13
make_VERB,comparison_SUBST,compare_VERB,EXTREME OUTLIERS REMOVED,-0.294,0.612,0.169,0.761,0.464,482,8
make_VERB,film_SUBST,film_VERB,EXTREME OUTLIERS REMOVED,-0.784,0.786,0.327,0.573,0.452,91,32
have_VERB,feel_SUBST,feel_VERB,EXTREME OUTLIERS REMOVED,-0.055,0.524,-0.315,1.259,0.488,6287,4
