LV,nominal,FV,note,test_statistic,p-value,CI-lower,CI-upper,relative_effect,FVC_n,LVC_n
take_VERB,punch_SUBST,punch_VERB,insufficient observations,test_result$statistic,,,,,106,1
give_VERB,punch_SUBST,punch_VERB,EXTREME OUTLIERS REMOVED,-0.194,0.587,-1.019,1.916,0.467,106,2
have_VERB,accident_SUBST,crash_VERB,EXTREME OUTLIERS REMOVED,0.503,0.31,0.437,0.604,0.521,149,70
give_VERB,ring_SUBST,ring_VERB,EXTREME OUTLIERS REMOVED,-0.474,0.677,0.439,0.538,0.488,1294,125
give_VERB,assurance_SUBST,assure_VERB,EXTREME OUTLIERS REMOVED,-2.504,0.983,0.136,0.484,0.305,100,11
take_VERB,approach_SUBST,approach_VERB,,-8.598,1,0.038,0.248,0.145,205,7
have_VERB,rest_SUBST,rest_VERB,EXTREME OUTLIERS REMOVED,2.105,0.02,0.506,0.747,0.627,96,40
take_VERB,rest_SUBST,rest_VERB,EXTREME OUTLIERS REMOVED,1.362,0.09,0.449,0.762,0.602,96,14
have_VERB,sense_SUBST,sense_VERB,EXTREME OUTLIERS REMOVED,0.838,0.205,0.408,0.714,0.563,28,44
take_VERB,taste_SUBST,taste_VERB,insufficient observations,test_result$statistic,,,,,481,1
give_VERB,taste_SUBST,taste_VERB,EXTREME OUTLIERS REMOVED,-2.16,0.91,0.095,0.666,0.385,481,3
give_VERB,try_SUBST,try_VERB,EXTREME OUTLIERS REMOVED,-0.857,0.797,0.376,0.553,0.464,8207,28
have_VERB,try_SUBST,try_VERB,EXTREME OUTLIERS REMOVED,3.288,0.004,0.575,0.879,0.728,8207,13
make_VERB,effort_SUBST,try_VERB,EXTREME OUTLIERS REMOVED,NaN,,,,,8207,136
make_VERB,start_SUBST,start_VERB,EXTREME OUTLIERS REMOVED,-3.348,0.999,0.258,0.442,0.35,7058,27
give_VERB,speech_SUBST,speak_VERB,EXTREME OUTLIERS REMOVED,-0.702,0.749,0.167,0.689,0.429,2941,7
give_VERB,warning_SUBST,warn_VERB,EXTREME OUTLIERS REMOVED,-2.153,0.975,0.22,0.5,0.359,83,11
give_VERB,information_SUBST,inform_VERB,EXTREME OUTLIERS REMOVED,0.326,0.364,0.433,0.596,0.513,124,72
have_VERB,smoke_SUBST,smoke_VERB,EXTREME OUTLIERS REMOVED,-0.267,0.599,0.107,0.824,0.474,414,4
take_VERB,action_SUBST,act_VERB,EXTREME OUTLIERS REMOVED,-5.338,1,0.283,0.402,0.342,284,71
make_VERB,submission_SUBST,submit_VERB,EXTREME OUTLIERS REMOVED,-3.314,0.997,0.148,0.427,0.289,120,13
give_VERB,hug_SUBST,hug_VERB,EXTREME OUTLIERS REMOVED,-3.947,1,0.07,0.36,0.216,33,17
give_VERB,encouragement_SUBST,encourage_VERB,EXTREME OUTLIERS REMOVED,-1.549,0.891,0.113,0.67,0.385,324,4
take_VERB,exercise_SUBST,exercise_VERB,insufficient observations,test_result$statistic,,,,,60,1
have_VERB,shave_SUBST,shave_VERB,EXTREME OUTLIERS REMOVED,0.549,0.29,0.295,0.834,0.563,101,9
have_VERB,run_SUBST,run_VERB,EXTREME OUTLIERS REMOVED,0.367,0.356,0.398,0.645,0.522,3021,24
take_VERB,kick_SUBST,kick_VERB,EXTREME OUTLIERS REMOVED,-3.26,0.968,-0.204,0.544,0.169,481,4
give_VERB,kick_SUBST,kick_VERB,EXTREME OUTLIERS REMOVED,-2.281,0.976,0.116,0.499,0.308,481,10
have_VERB,kick_SUBST,kick_VERB,EXTREME OUTLIERS REMOVED,9.16,0.002,0.657,0.875,0.767,481,4
give_VERB,summary_SUBST,summarise_VERB,,-4.417,0.953,-0.327,0.646,0.167,33,2
pay_VERB,contribution_SUBST,contribute_VERB,EXTREME OUTLIERS REMOVED,-0.897,0.809,0.285,0.594,0.437,142,12
