LV,nominal,FV,note,test_statistic,p-value,CI-lower,CI-upper,relative_effect,FVC_n,LVC_n
take_VERB,punch_SUBST,punch_VERB,insufficient observations,test_result$statistic,,,,,109,1
give_VERB,punch_SUBST,punch_VERB,EXTREME OUTLIERS PRESENT,-0.111,0.552,-0.96,1.921,0.482,109,2
have_VERB,accident_SUBST,crash_VERB,EXTREME OUTLIERS PRESENT,0.58,0.283,0.44,0.608,0.524,150,70
give_VERB,ring_SUBST,ring_VERB,EXTREME OUTLIERS PRESENT,-0.481,0.683,0.44,0.537,0.488,1323,128
give_VERB,assurance_SUBST,assure_VERB,EXTREME OUTLIERS PRESENT,-2.358,0.981,0.143,0.488,0.318,102,11
take_VERB,approach_SUBST,approach_VERB,,-8.598,1,0.042,0.249,0.145,205,7
have_VERB,rest_SUBST,rest_VERB,EXTREME OUTLIERS PRESENT,2.187,0.016,0.511,0.747,0.631,97,40
take_VERB,rest_SUBST,rest_VERB,EXTREME OUTLIERS PRESENT,0.88,0.197,0.403,0.727,0.569,97,15
have_VERB,sense_SUBST,sense_VERB,EXTREME OUTLIERS PRESENT,0.561,0.286,0.394,0.693,0.542,28,46
take_VERB,taste_SUBST,taste_VERB,insufficient observations,test_result$statistic,,,,,490,1
give_VERB,taste_SUBST,taste_VERB,EXTREME OUTLIERS PRESENT,-1.98,0.9,0.11,0.671,0.396,490,3
give_VERB,try_SUBST,try_VERB,EXTREME OUTLIERS PRESENT,-0.639,0.74,0.387,0.559,0.473,8359,28
have_VERB,try_SUBST,try_VERB,EXTREME OUTLIERS PRESENT,3.422,0.005,0.579,0.883,0.733,8359,13
make_VERB,effort_SUBST,try_VERB,EXTREME OUTLIERS PRESENT,NaN,,,,,8359,136
make_VERB,start_SUBST,start_VERB,EXTREME OUTLIERS PRESENT,-3.397,0.999,0.257,0.441,0.349,7196,28
give_VERB,speech_SUBST,speak_VERB,EXTREME OUTLIERS PRESENT,-0.605,0.726,0.196,0.695,0.44,2998,7
