voc_index,lemma_pos
0,be_VERB
1,i_PRON
2,it_PRON
3,you_PRON
4,and_CONJ
5,to_PREP
6,have_VERB
7,not_ADV
8,do_VERB
9,--anonnumeral_ADJ
10,that_ADJ
11,they_PRON
12,of_PREP
13,we_PRON
14,in_PREP
15,he_PRON
16,PUNC_STOP
17,get_VERB
18,but_CONJ
19,know_VERB
20,so_ADV
21,what_PRON
22,go_VERB
23,that_CONJ
24,she_PRON
25,well_ADV
26,just_ADV
27,think_VERB
28,for_PREP
29,say_VERB
30,on_PREP
31,this_ADJ
32,can_VERB
33,will_VERB
34,would_VERB
35,if_CONJ
36,with_PREP
37,then_ADV
38,at_PREP
39,there_PRON
40,like_ADV
41,all_ADJ
42,like_PREP
43,or_CONJ
44,really_ADV
45,there_ADV
46,up_ADV
47,see_VERB
48,cos_CONJ
49,come_VERB
50,about_PREP
51,want_VERB
52,one_PRON
53,thing_SUBST
54,good_ADJ
55,out_ADV
56,mean_VERB
57,now_ADV
58,when_CONJ
59,right_ADV
60,because_CONJ
61,people_SUBST
62,from_PREP
63,time_SUBST
64,how_ADV
65,my_PRON
66,very_ADV
67,could_VERB
68,look_VERB
69,some_ADJ
70,as_CONJ
71,take_VERB
72,make_VERB
73,which_PRON
74,--anonnamem_SUBST
75,put_VERB
76,on_ADV
77,like_VERB
78,who_PRON
79,something_PRON
80,--anonnamef_SUBST
81,your_PRON
82,where_ADV
83,actually_ADV
84,here_ADV
85,year_SUBST
86,going_VERB
87,quite_ADV
88,okay_ADV
89,down_ADV
90,why_ADV
91,way_SUBST
92,by_PREP
93,back_ADV
94,any_ADJ
95,bit_SUBST
96,need_VERB
97,in_ADV
98,--anonplace_SUBST
99,other_ADJ
100,day_SUBST
101,give_VERB
102,tell_VERB
103,these_ADJ
104,should_VERB
105,lot_SUBST
106,only_ADV
107,sort_SUBST
108,nice_ADJ
109,into_PREP
110,work_VERB
111,those_ADJ
112,more_ADJ
113,--anonnumeral_SUBST
114,as_ADV
115,might_VERB
116,right_ADJ
117,try_VERB
118,much_ADJ
119,still_ADV
120,first_ADJ
121,little_ADJ
122,probably_ADV
123,off_ADV
124,never_ADV
125,as_PREP
126,week_SUBST
127,big_ADJ
128,find_VERB
129,use_VERB
130,than_CONJ
131,talk_VERB
132,again_ADV
133,last_ADJ
134,used_VERB
135,his_PRON
136,start_VERB
137,always_ADV
138,anything_PRON
139,of_ADV
140,too_ADV
141,remember_VERB
142,though_ADV
143,even_ADV
144,na_PREP
145,pound_SUBST
146,call_VERB
147,about_ADV
148,same_ADJ
149,stuff_SUBST
150,more_ADV
151,keep_VERB
152,a_ADV
153,so_CONJ
154,money_SUBST
155,feel_VERB
156,leave_VERB
157,ask_VERB
158,buy_VERB
159,old_ADJ
160,house_SUBST
161,pay_VERB
162,another_ADJ
163,point_SUBST
164,when_ADV
165,happen_VERB
166,gon_VERB
167,different_ADJ
168,anyway_ADV
169,many_ADJ
170,maybe_ADV
171,mum_SUBST
172,through_PREP
173,next_ADJ
174,over_PREP
175,work_SUBST
176,new_ADJ
177,let_VERB
178,god_SUBST
179,sure_ADJ
180,bad_ADJ
181,bit_ADV
182,kind_SUBST
183,must_VERB
184,man_SUBST
185,school_SUBST
186,night_SUBST
187,also_ADV
188,thank_VERB
189,place_SUBST
190,sorry_ADJ
191,else_ADV
192,her_PRON
193,away_ADV
194,car_SUBST
195,job_SUBST
196,move_VERB
197,n_ADV
198,live_VERB
199,hear_VERB
200,after_PREP
201,over_ADV
202,long_ADJ
203,their_PRON
204,sit_VERB
205,problem_SUBST
206,play_VERB
207,hour_SUBST
208,everything_PRON
209,minute_SUBST
210,dad_SUBST
211,eat_VERB
212,end_SUBST
213,half_ADJ
214,number_SUBST
215,obviously_ADV
216,child_SUBST
217,today_ADV
218,course_SUBST
219,great_ADJ
220,own_ADJ
221,write_VERB
222,morning_SUBST
223,watch_VERB
224,word_SUBST
225,all_ADV
226,round_ADV
227,alright_ADJ
228,whatever_PRON
229,month_SUBST
230,nothing_PRON
231,few_ADJ
232,read_VERB
233,bring_VERB
234,turn_VERB
235,off_PREP
236,ever_ADV
237,fine_ADJ
238,name_SUBST
239,stop_VERB
240,seem_VERB
241,fact_SUBST
242,part_SUBST
243,life_SUBST
244,side_SUBST
245,somebody_PRON
246,friend_SUBST
247,run_VERB
248,whether_CONJ
249,sort_ADV
250,much_ADV
251,book_SUBST
252,idea_SUBST
253,love_VERB
254,alright_ADV
255,someone_PRON
256,road_SUBST
257,area_SUBST
258,suppose_VERB
259,our_PRON
260,question_SUBST
261,exactly_ADV
262,walk_VERB
263,before_CONJ
264,able_ADJ
265,please_ADV
266,change_VERB
267,mr_SUBST
268,woman_SUBST
269,lovely_ADJ
270,person_SUBST
271,send_VERB
272,whole_ADJ
273,may_VERB
274,girl_SUBST
275,okay_ADJ
276,help_VERB
277,room_SUBST
278,show_VERB
279,speak_VERB
280,guy_SUBST
281,home_ADV
282,funny_ADJ
283,pick_VERB
284,wait_VERB
285,yet_ADV
286,stay_VERB
287,out_PREP
288,ago_ADV
289,water_SUBST
290,couple_SUBST
291,hand_SUBST
292,wrong_ADJ
293,door_SUBST
294,perhaps_ADV
295,between_PREP
296,back_SUBST
297,enough_ADV
298,already_ADV
299,together_ADV
300,only_ADJ
301,meet_VERB
302,council_SUBST
303,moment_SUBST
304,small_ADJ
305,around_ADV
306,lose_VERB
307,such_ADJ
308,no_VERB
309,christmas_SUBST
310,shall_VERB
311,understand_VERB
312,group_SUBST
313,believe_VERB
314,country_SUBST
315,a_SUBST
316,pretty_ADV
317,world_SUBST
318,phone_SUBST
319,family_SUBST
320,home_SUBST
321,before_ADV
322,sometimes_ADV
323,shop_SUBST
324,true_ADJ
325,load_SUBST
326,tomorrow_ADV
327,mind_VERB
328,finish_VERB
329,case_SUBST
330,everyone_PRON
331,basically_ADV
332,at_ADV
333,c_SUBST
334,most_ADJ
335,up_PREP
336,everybody_PRON
337,absolutely_ADV
338,young_ADJ
339,spend_VERB
340,high_ADJ
341,sound_VERB
342,each_ADJ
343,forget_VERB
344,boy_SUBST
345,sell_VERB
346,kid_SUBST
347,reason_SUBST
348,round_PREP
349,rather_ADV
350,somewhere_ADV
351,head_SUBST
352,top_SUBST
353,hope_VERB
354,look_SUBST
355,either_ADV
356,easy_ADJ
357,card_SUBST
358,kind_ADV
359,hard_ADJ
360,course_ADV
361,age_SUBST
362,bed_SUBST
363,party_SUBST
364,game_SUBST
365,that_ADV
366,drive_VERB
367,service_SUBST
368,happy_ADJ
369,definitely_ADV
370,full_ADJ
371,interesting_ADJ
372,p_SUBST
373,let's_VERB
374,before_PREP
375,food_SUBST
376,b_SUBST
377,mine_PRON
378,paper_SUBST
379,stand_VERB
380,without_PREP
381,far_ADV
382,term_SUBST
383,weird_ADJ
384,business_SUBST
385,wear_VERB
386,cut_VERB
387,certainly_ADV
388,line_SUBST
389,shit_SUBST
390,company_SUBST
391,difficult_ADJ
392,tea_SUBST
393,second_ADJ
394,least_ADV
395,government_SUBST
396,wonder_VERB
397,both_ADJ
398,yourself_PRON
399,learn_VERB
400,local_ADJ
401,under_PREP
402,become_VERB
403,important_ADJ
404,listen_VERB
405,percent_SUBST
406,hold_VERB
407,carry_VERB
408,bloody_ADJ
409,picture_SUBST
410,against_PREP
411,set_VERB
412,die_VERB
413,well_ADJ
414,most_ADV
415,around_PREP
416,like_ADJ
417,anybody_PRON
418,holiday_SUBST
419,dog_SUBST
420,hang_VERB
421,long_ADV
422,allow_VERB
423,'s_VERB
424,member_SUBST
425,agree_VERB
426,yesterday_ADV
427,black_ADJ
428,miss_VERB
429,myself_PRON
430,lots_PRON
431,table_SUBST
432,o'clock_ADV
433,within_PREP
434,film_SUBST
435,ta_PREP
436,once_ADV
437,level_SUBST
438,fucking_ADJ
439,e_SUBST
440,build_VERB
441,type_SUBST
442,friday_SUBST
443,mother_SUBST
444,open_VERB
445,parent_SUBST
446,fall_VERB
447,free_ADJ
448,s_SUBST
449,decide_VERB
450,win_VERB
451,weekend_SUBST
452,until_CONJ
453,later_ADV
454,down_PREP
455,imagine_VERB
456,often_ADV
457,piece_SUBST
458,certain_ADJ
459,late_ADJ
460,guess_VERB
461,ring_VERB
462,other_SUBST
463,sense_SUBST
464,foot_SUBST
465,although_CONJ
466,expect_VERB
467,baby_SUBST
468,in_VERB
469,saturday_SUBST
470,break_VERB
471,plan_SUBST
472,box_SUBST
473,cool_ADJ
474,past_PREP
475,supposed_ADJ
476,story_SUBST
477,class_SUBST
478,white_ADJ
479,cheap_ADJ
480,face_SUBST
481,policy_SUBST
482,across_PREP
483,particular_ADJ
484,letter_SUBST
485,teacher_SUBST
486,anyone_PRON
487,once_CONJ
488,system_SUBST
489,grow_VERB
490,john_SUBST
491,sunday_SUBST
492,hot_ADJ
493,bag_SUBST
494,light_SUBST
495,office_SUBST
496,drink_VERB
497,meeting_SUBST
498,county_SUBST
499,o_SUBST
500,mind_SUBST
501,war_SUBST
502,price_SUBST
503,far_ADJ
504,thanks_SUBST
505,town_SUBST
506,check_VERB
507,while_CONJ
508,after_CONJ
509,hair_SUBST
510,view_SUBST
511,real_ADJ
512,red_ADJ
513,report_SUBST
514,tonight_ADV
515,quid_SUBST
516,usually_ADV
517,t_SUBST
518,enough_ADJ
519,end_VERB
520,enjoy_VERB
521,apparently_ADV
522,where_CONJ
523,amount_SUBST
524,stick_VERB
525,pull_VERB
526,situation_SUBST
527,london_SUBST
528,street_SUBST
529,colour_SUBST
530,issue_SUBST
531,unless_CONJ
532,language_SUBST
533,window_SUBST
534,pass_VERB
535,city_SUBST
536,hate_VERB
537,nobody_PRON
538,bus_SUBST
539,open_ADJ
540,almost_ADV
541,difference_SUBST
542,eye_SUBST
543,information_SUBST
544,birthday_SUBST
545,save_VERB
546,fair_ADJ
547,monday_SUBST
548,through_ADV
549,--anonnamen_SUBST
550,m_SUBST
551,rest_SUBST
552,student_SUBST
553,form_SUBST
554,normally_ADV
555,police_SUBST
556,go_SUBST
557,add_VERB
558,completely_ADV
559,page_SUBST
560,hell_SUBST
561,ready_ADJ
562,cold_ADJ
563,dinner_SUBST
564,example_SUBST
565,teach_VERB
566,change_SUBST
567,straight_ADV
568,lady_SUBST
569,brother_SUBST
570,since_CONJ
571,building_SUBST
572,order_SUBST
573,mention_VERB
574,short_ADJ
575,doctor_SUBST
576,sort_VERB
577,particularly_ADV
578,matter_SUBST
579,garden_SUBST
580,deal_VERB
581,land_SUBST
582,low_ADJ
583,awful_ADJ
584,amazing_ADJ
585,british_ADJ
586,programme_SUBST
587,bet_VERB
588,less_ADV
589,body_SUBST
590,behind_PREP
591,till_PREP
592,centre_SUBST
593,team_SUBST
594,early_ADJ
595,wan_VERB
596,fire_SUBST
597,throw_VERB
598,while_SUBST
599,church_SUBST
600,bother_VERB
601,front_SUBST
602,figure_SUBST
603,along_ADV
604,nearly_ADV
605,afternoon_SUBST
606,choose_VERB
607,father_SUBST
608,cost_SUBST
609,mile_SUBST
610,i_SUBST
611,main_ADJ
612,literally_ADV
613,cost_VERB
614,university_SUBST
615,follow_VERB
616,cup_SUBST
617,coffee_SUBST
618,forward_ADV
619,worry_VERB
620,depend_VERB
621,horrible_ADJ
622,computer_SUBST
623,drink_SUBST
624,kill_VERB
625,worth_PREP
626,trouble_SUBST
627,soon_ADV
628,evening_SUBST
629,answer_SUBST
630,brilliant_ADJ
631,expensive_ADJ
632,general_ADJ
633,cat_SUBST
634,fucking_ADV
635,little_ADV
636,yours_PRON
637,reckon_VERB
638,mummy_SUBST
639,large_ADJ
640,cook_VERB
641,south_SUBST
642,matter_VERB
643,national_ADJ
644,extra_ADJ
645,interest_SUBST
646,drop_VERB
647,train_SUBST
648,leg_SUBST
649,size_SUBST
650,stupid_ADJ
651,need_SUBST
652,committee_SUBST
653,third_ADJ
654,cover_VERB
655,normal_ADJ
656,sleep_VERB
657,during_PREP
658,cake_SUBST
659,d_SUBST
660,glass_SUBST
661,chocolate_SUBST
662,special_ADJ
663,chance_SUBST
664,tree_SUBST
665,list_SUBST
666,health_SUBST
667,wish_VERB
668,bottom_SUBST
669,space_SUBST
670,manage_VERB
671,north_SUBST
672,provide_VERB
673,power_SUBST
674,hit_VERB
675,training_SUBST
676,tape_SUBST
677,blue_ADJ
678,actual_ADJ
679,music_SUBST
680,shut_VERB
681,park_SUBST
682,draw_VERB
683,market_SUBST
684,stage_SUBST
685,g_SUBST
686,especially_ADV
687,catch_VERB
688,realise_VERB
689,bank_SUBST
690,themselves_PRON
691,sister_SUBST
692,possible_ADJ
693,experience_SUBST
694,authority_SUBST
695,love_SUBST
696,quarter_SUBST
697,wall_SUBST
698,conversation_SUBST
699,floor_SUBST
700,board_SUBST
701,both_ADV
702,even_CONJ
703,date_SUBST
704,fill_VERB
705,clear_ADJ
706,poor_ADJ
707,summer_SUBST
708,honest_ADJ
709,interested_ADJ
710,club_SUBST
711,wednesday_SUBST
712,suggest_VERB
713,half_SUBST
714,near_PREP
715,quick_ADJ
716,notice_VERB
717,middle_SUBST
718,phone_VERB
719,towards_PREP
720,indeed_ADV
721,egg_SUBST
722,em_PRON
723,terrible_ADJ
724,chairman_SUBST
725,otherwise_ADV
726,record_VERB
727,green_ADJ
728,tax_SUBST
729,hospital_SUBST
730,whereas_CONJ
731,mate_SUBST
732,early_ADV
733,though_CONJ
734,york_SUBST
735,proper_ADJ
736,onto_PREP
737,officer_SUBST
738,massive_ADJ
739,fuck_VERB
740,therefore_ADV
741,flat_SUBST
742,horse_SUBST
743,bill_SUBST
744,chicken_SUBST
745,anywhere_ADV
746,union_SUBST
747,wine_SUBST
748,accept_VERB
749,wife_SUBST
750,thursday_SUBST
751,close_ADJ
752,community_SUBST
753,mark_SUBST
754,staff_SUBST
755,position_SUBST
756,explain_VERB
757,ball_SUBST
758,station_SUBST
759,care_VERB
760,push_VERB
761,like_CONJ
762,bottle_SUBST
763,bar_SUBST
764,news_SUBST
765,decision_SUBST
766,lunch_SUBST
767,r_SUBST
768,site_SUBST
769,machine_SUBST
770,beautiful_ADJ
771,english_ADJ
772,kitchen_SUBST
773,n_SUBST
774,fit_VERB
775,join_VERB
776,strong_ADJ
777,rate_SUBST
778,fish_SUBST
779,chair_SUBST
780,period_SUBST
781,state_SUBST
782,sing_VERB
783,plus_PREP
784,tend_VERB
785,lord_SUBST
786,offer_VERB
787,close_VERB
788,education_SUBST
789,single_ADJ
790,quickly_ADV
791,second_SUBST
792,development_SUBST
793,england_SUBST
794,social_ADJ
795,mrs_SUBST
796,laugh_VERB
797,just_ADJ
798,air_SUBST
799,totally_ADV
800,corner_SUBST
801,project_SUBST
802,fairly_ADV
803,video_SUBST
804,possibly_ADV
805,support_VERB
806,david_SUBST
807,account_SUBST
808,slightly_ADV
809,busy_ADJ
810,lie_VERB
811,consider_VERB
812,song_SUBST
813,english_SUBST
814,tuesday_SUBST
815,law_SUBST
816,produce_VERB
817,bread_SUBST
818,fly_VERB
819,better_ADV
820,concerned_ADJ
821,traffic_SUBST
822,cheese_SUBST
823,no_PRON
824,lot_ADV
825,meal_SUBST
826,properly_ADV
827,himself_PRON
828,rid_VERB
829,apply_VERB
830,huge_ADJ
831,set_SUBST
832,football_SUBST
833,text_SUBST
834,pub_SUBST
835,district_SUBST
836,sir_SUBST
837,effect_SUBST
838,call_SUBST
839,pardon_SUBST
840,wash_VERB
841,ground_SUBST
842,message_SUBST
843,odd_ADJ
844,test_SUBST
845,quality_SUBST
846,clearly_ADV
847,strange_ADJ
848,bloke_SUBST
849,start_SUBST
850,bedroom_SUBST
851,right_SUBST
852,shoe_SUBST
853,note_SUBST
854,degree_SUBST
855,america_SUBST
856,itself_PRON
857,u_SUBST
858,trade_SUBST
859,ought_VERB
860,boat_SUBST
861,milk_SUBST
862,hotel_SUBST
863,benefit_SUBST
864,x_SUBST
865,jesus_SUBST
866,use_SUBST
867,show_SUBST
868,ticket_SUBST
869,knock_VERB
870,bear_VERB
871,college_SUBST
872,field_SUBST
873,history_SUBST
874,son_SUBST
875,photo_SUBST
876,budget_SUBST
877,result_SUBST
878,similar_ADJ
879,outside_PREP
880,involve_VERB
881,village_SUBST
882,dead_ADJ
883,department_SUBST
884,h_SUBST
885,deal_SUBST
886,none_PRON
887,along_PREP
888,play_SUBST
889,outside_ADV
890,instead_ADV
891,cream_SUBST
892,manager_SUBST
893,post_SUBST
894,choice_SUBST
895,book_VERB
896,daddy_SUBST
897,marry_VERB
898,sick_ADJ
899,lesson_SUBST
900,until_PREP
901,court_SUBST
902,f_SUBST
903,ridiculous_ADJ
904,base_VERB
905,wake_VERB
906,society_SUBST
907,west_SUBST
908,opportunity_SUBST
909,clothes_SUBST
910,motion_SUBST
911,sign_VERB
912,product_SUBST
913,plan_VERB
914,got_VERB
915,comment_SUBST
916,answer_VERB
917,record_SUBST
918,darling_SUBST
919,husband_SUBST
920,action_SUBST
921,rule_SUBST
922,begin_VERB
923,whole_SUBST
924,councillor_SUBST
925,wedding_SUBST
926,animal_SUBST
927,sound_SUBST
